timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-10-09 17:13:36	 158	 -96	784	56	 90.00	 0	-1 	0
2025-10-09 17:13:37	 193	 -106	732	56	 155.04	 -4	2 	0
2025-10-09 17:13:38	 228	 -188	735	56	 211.29	 -4	-4 	0
2025-10-09 17:13:39	 263	 -398	597	56	 176.13	 -7	-3 	0
2025-10-09 17:13:40	 298	 -449	660	56	 98.79	 -2	6 	0
2025-10-09 17:13:41	 333	 -465	876	56	 54.84	 0	4 	0
2025-10-09 17:13:42	 368	 -498	863	56	 349.80	 -7	-1 	0
2025-10-09 17:13:43	 403	 -509	797	56	 281.25	 0	-7 	0
2025-10-09 17:13:44	 438	 -351	645	56	 37.27	 7	1 	0
2025-10-09 17:13:45	 473	 -156	757	56	 56.60	 5	5 	0
2025-10-09 17:13:46	 508	 -61	930	8	 77.70	 1	3 	0
2025-10-09 17:13:47	 543	 -58	868	8	 84.73	 -1	-3 	0
2025-10-09 17:13:54	 766	 -62	931	8	 91.76	 -1	7 	0
2025-10-09 17:13:55	 801	 -70	1181	40	 88.24	 -1	3 	0
2025-10-09 17:13:56	 836	 -61	1371	56	 86.48	 0	7 	0
2025-10-09 17:13:57	 871	 0	1582	56	 9.14	 1	2 	0
2025-10-09 17:13:58	 906	 74	1609	56	 21.45	 6	1 	0
2025-10-09 17:13:59	 941	 228	1775	56	 93.52	 0	0 	0
2025-10-09 17:14:00	 995	 225	1854	48	 102.30	 -1	3 	0
2025-10-09 17:14:01	 1030	 221	1894	48	 107.58	 -1	0 	0
2025-10-09 17:14:05	 1154	 256	1994	48	 70.66	 0	1 	0
2025-10-09 17:14:06	 1189	 288	2023	48	 16.17	 4	1 	0
2025-10-09 17:14:07	 1224	 476	2180	48	 72.42	 3	7 	0
2025-10-09 17:14:08	 1259	 490	2450	48	 151.52	 -5	6 	0
2025-10-09 17:14:09	 1294	 251	2580	48	 169.10	 -8	2 	0
2025-10-09 17:14:10	 1329	 -15	2535	48	 235.90	 -7	-6 	0
2025-10-09 17:14:11	 1364	 -133	2292	48	 279.84	 -1	-9 	0
2025-10-09 17:14:12	 1399	 -2	2054	48	 320.27	 6	-6 	0
2025-10-09 17:14:13	 1434	 169	1827	48	 285.12	 3	-8 	0
2025-10-09 17:14:14	 1469	 166	1555	56	 216.56	 -4	-7 	0
2025-10-09 17:14:15	 1504	 189	1552	56	 116.37	 4	-1 	0
2025-10-09 17:14:16	 1539	 236	1552	56	 169.10	 0	0 	0
2025-10-09 17:14:17	 1586	 127	1584	56	 114.61	 -3	1 	0
2025-10-09 17:14:18	 1621	 63	1553	56	 19.69	 1	0 	0
2025-10-09 17:14:19	 1656	 277	1571	56	 16.17	 7	0 	0
2025-10-09 17:14:20	 1691	 551	1644	56	 56.60	 6	4 	0
2025-10-09 17:14:21	 1726	 682	1653	56	 305.86	 2	-3 	0
2025-10-09 17:14:22	 1761	 632	1514	56	 182.81	 -7	-3 	0
2025-10-09 17:14:23	 1796	 561	1537	56	 98.44	 -1	4 	0
2025-10-09 17:14:24	 1831	 546	1627	56	 191.60	 -1	0 	0
2025-10-09 17:14:25	 1866	 405	1550	56	 249.61	 -3	-3 	0
2025-10-09 17:14:26	 1901	 379	1463	56	 272.46	 0	-7 	0
2025-10-09 17:14:27	 1936	 390	1190	56	 272.46	 0	-9 	0
2025-10-09 17:14:28	 1971	 384	903	56	 239.06	 -3	-8 	0
2025-10-09 17:14:29	 2006	 323	627	40	 321.68	 2	-8 	0
2025-10-09 17:14:30	 2041	 549	557	40	 30.23	 7	2 	0
2025-10-09 17:14:31	 2076	 658	754	56	 139.22	 -4	6 	0
2025-10-09 17:14:32	 2111	 451	936	40	 153.28	 -8	3 	0
2025-10-09 17:14:33	 2146	 358	1117	56	 61.88	 2	6 	0
2025-10-09 17:14:34	 2181	 402	1386	56	 98.79	 -1	8 	0
2025-10-09 17:14:35	 2216	 336	1546	56	 195.47	 -1	-2 	0
2025-10-09 17:14:36	 2251	 296	1610	56	 156.80	 -6	4 	0
2025-10-09 17:14:37	 2286	 141	1639	56	 232.38	 -2	-4 	0
2025-10-09 17:14:38	 2321	 -8	1552	56	 228.87	 -6	-1 	0
2025-10-09 17:14:39	 2356	 -88	1354	56	 304.45	 1	-8 	0
2025-10-09 17:14:40	 2391	 79	1104	11	 307.97	 7	-8 	0
2025-10-09 17:14:41	 2426	 177	953	8	 249.96	 0	-7 	0
2025-10-09 17:14:42	 2461	 55	848	8	 179.65	 -2	0 	0

